model_type,variant,class_weight_strategy,stat,n_runs,n_features,n_train,n_val,val_acc_mean,val_acc_run_std,val_f1_macro_mean,val_f1_macro_run_std,cv_acc_mean,cv_acc_fold_std,cv_acc_run_std,cv_f1_macro_mean,cv_f1_macro_fold_std,cv_f1_macro_run_std
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,FOULS,2,135,1444,362,0.5069,0.006900000000000017,0.42364999999999997,0.007750000000000007,0.49115,0.014599999999999998,0.0005500000000000227,0.4268,0.0206,0.0010999999999999899
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,GOALS,2,135,1444,362,0.60635,0.009649999999999992,0.4991,0.0005999999999999894,0.57525,0.0262,0.0016499999999999848,0.4963,0.02435,0.004500000000000004
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,OFFSIDES,2,135,1444,362,0.49585,0.004149999999999987,0.48365,0.006750000000000006,0.4878,0.012400000000000001,0.0032999999999999974,0.48435,0.01185,0.0034500000000000086
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,REDCARDS,2,135,1444,362,0.6850499999999999,0.12984999999999997,0.349,0.03419999999999998,0.7824,0.02955,0.020499999999999963,0.35155000000000003,0.01405,0.02385000000000001
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,SHOTS_ON_TARGET,2,135,1444,362,0.66435,0.0013499999999999623,0.4885,0.014500000000000013,0.6256999999999999,0.026,0.0005999999999999894,0.47624999999999995,0.02085,0.008349999999999996
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,YELLOWCARDS,2,135,1444,362,0.47650000000000003,0.0068999999999999895,0.4243,0.015300000000000008,0.4294,0.0196,0.008599999999999997,0.3854,0.02305,0.005099999999999993
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,CORNERS,2,249,1444,362,0.62845,0.006949999999999956,0.40655,0.00605,0.6032500000000001,0.01065,0.0041500000000000425,0.40335,0.012400000000000001,0.0008499999999999897
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,FOULS,2,249,1444,362,0.5097,0.006899999999999962,0.404,0.005499999999999977,0.49224999999999997,0.019049999999999997,0.004449999999999982,0.38534999999999997,0.021249999999999998,0.010250000000000009
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,GOALS,2,249,1444,362,0.6049500000000001,0.005549999999999999,0.4655,0.012300000000000005,0.5847,0.023399999999999997,0.0006000000000000449,0.47315,0.02995,0.009050000000000002
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,OFFSIDES,2,249,1444,362,0.45304999999999995,0.013850000000000001,0.44575,0.015250000000000014,0.4532,0.015,0.004699999999999982,0.44894999999999996,0.0137,0.004349999999999993
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,REDCARDS,2,249,1444,362,0.8564,0.0,0.3075,0.0,0.8397,0.01145,0.006399999999999961,0.31215000000000004,0.009000000000000001,0.0027500000000000024
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,SHOTS_ON_TARGET,2,249,1444,362,0.6851,0.00830000000000003,0.45285,0.004150000000000015,0.64645,0.01365,0.0008500000000000174,0.4451,0.0073,0.006400000000000017
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,YELLOWCARDS,2,249,1444,362,0.4461,0.015199999999999991,0.37695,0.00655,0.42445,0.016649999999999998,0.010249999999999981,0.34975,0.0162,0.00545000000000001
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,CORNERS,2,249,1444,362,0.6049500000000001,0.005549999999999999,0.4304,0.0019000000000000128,0.5733999999999999,0.0137,0.008599999999999997,0.41255,0.01495,0.004150000000000015
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,FOULS,2,249,1444,362,0.5152,0.015199999999999991,0.4157,0.008500000000000008,0.46540000000000004,0.02215,0.011899999999999994,0.39744999999999997,0.01365,0.014350000000000002
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,GOALS,2,249,1444,362,0.54835,0.012449999999999961,0.46925,0.006149999999999989,0.56645,0.01615,0.00495000000000001,0.4911,0.02495,0.005700000000000011
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,OFFSIDES,2,249,1444,362,0.45030000000000003,0.03040000000000001,0.436,0.03660000000000002,0.4582,0.018750000000000003,0.0025000000000000022,0.4546,0.01715,0.0021999999999999797
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,REDCARDS,2,249,1444,362,0.8149,0.016600000000000004,0.34855,0.008549999999999974,0.7694,0.03465,0.021299999999999986,0.3426,0.02185,0.008200000000000013
