target,rank,model_type,variant,cv_rmse,cv_rmse_run_std,cv_rmse_fold_std,cv_mae,cv_mae_run_std,cv_rmse_pct,cv_mae_pct,val_rmse,val_mae,n_runs
AWAY_GOALS,10,mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,1.1926665,0.0045775,0.067943,0.9284825,0.0055355,93.53,72.815,1.0628760000000002,0.8378185,2
AWAY_GOALS,11,mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,1.1928385,0.0021674999999999,0.0564095,0.927312,0.0015749999999999,93.54,72.72,1.0521159999999998,0.824986,2
AWAY_GOALS,12,mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,1.192865,0.001614,0.0642145,0.932671,0.0016039999999999,93.545,73.14,1.0598519999999998,0.8350470000000001,2
AWAY_GOALS,13,mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,1.193063,0.0044729999999999,0.0619259999999999,0.9271675,0.0038374999999999,93.56,72.71000000000001,1.052285,0.82159,2
AWAY_GOALS,14,lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,1.19355,0.00616,0.0684555,0.9299705,0.0011694999999999,91.38,71.2,1.0583245,0.834588,2
AWAY_GOALS,15,lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,1.1935545,0.0001685,0.058466,0.931596,0.0024219999999999,91.385,71.325,1.050542,0.8219194999999999,2
AWAY_GOALS,16,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,1.195865,0.0,0.072038,0.93076,0.0,91.56,71.26,1.041845,0.805698,1
AWAY_GOALS,17,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,1.19658,0.0063239999999999,0.053995,0.9313845,0.0074344999999999,91.615,71.31,1.0590435,0.825623,2
AWAY_GOALS,18,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,1.198405,0.008213,0.061074,0.9271085,0.0029255,91.755,70.985,1.0596925,0.8309234999999999,2
AWAY_GOALS,19,lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,1.1994365,0.0045804999999999,0.065251,0.943469,0.00472,91.83,72.235,1.074863,0.852391,2
AWAY_GOALS,20,mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,1.2017185,0.0010985,0.071804,0.938288,0.001118,94.235,73.58,1.0612184999999998,0.841708,2
HOME_CORNERS,1,mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,2.9620015000000004,0.0092725,0.109987,2.358215,0.0056669999999998,55.305,44.025000000000006,3.1041695,2.492755,2
HOME_CORNERS,2,mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,2.9622275,0.0099445,0.0925835,2.3581695,0.0108814999999999,55.305,44.03,3.0694175,2.46059,2
HOME_CORNERS,3,mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,2.9626945,0.0005334999999999,0.1129064999999999,2.3645685,0.0013944999999999,55.32,44.145,3.077639,2.4761935,2
HOME_CORNERS,4,mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,2.964111,0.0153970000000001,0.0871865,2.360712,0.0073959999999999,55.34,44.075,3.085001,2.485628,2
HOME_CORNERS,5,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,2.965932,0.0,0.103403,2.357745,0.0,55.91,44.45,3.09804,2.503155,1
HOME_CORNERS,6,mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,2.968966,0.0016539999999998,0.111788,2.361828,0.004998,55.43,44.095,3.1223155,2.502365,2
HOME_CORNERS,7,lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,2.969576,0.005217,0.093727,2.36156,0.0088489999999998,55.98,44.515,3.117198,2.495189,2
HOME_CORNERS,8,lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,2.9716145000000003,0.0022094999999999,0.098083,2.368754,0.0026389999999998,56.02,44.650000000000006,3.1339185,2.5043170000000003,2
HOME_CORNERS,9,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,2.974637,0.0195229999999999,0.107077,2.3635585,0.0139074999999999,56.075,44.555,3.141311,2.515923,2
HOME_CORNERS,10,xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,2.975478,0.0,0.094009,2.355144,0.0,55.55,43.97,3.111402,2.499144,1
HOME_CORNERS,11,xgb,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,2.9777045,0.0013055000000001,0.0774235,2.362483,0.003276,55.595,44.11,3.0904545,2.496187,2
HOME_CORNERS,12,lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,2.979037,0.00638,0.089772,2.373494,0.0040490000000001,56.16,44.745000000000005,3.148586,2.528386,2
HOME_CORNERS,13,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,2.9795305,0.0067025,0.1042755,2.3620005,0.0001374999999999,56.165,44.525000000000006,3.1389855,2.536632,2
