model_type,variant,class_weight_strategy,stat,rank,cv_f1_macro_mean,cv_f1_macro_run_std,cv_f1_macro_fold_std,val_f1_macro_mean,val_f1_macro_run_std,n_runs
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,CORNERS,17,0.39755,0.00595,0.01755,0.3797,0.0012,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,CORNERS,18,0.39515,0.0037499999999999,0.0203,0.44265,0.00995,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,CORNERS,19,0.38705,0.01045,0.01625,0.4177999999999999,0.0027999999999999,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,CORNERS,20,0.3867,0.0005999999999999,0.0147,0.41275,0.0021499999999999,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,YELLOWCARDS,1,0.3917,0.0090999999999999,0.0147,0.4112,0.0068,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,YELLOWCARDS,2,0.39035,0.0054499999999999,0.01285,0.38825,4.999999999999449e-05,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,YELLOWCARDS,3,0.3854,0.0050999999999999,0.02305,0.4243,0.0153,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,YELLOWCARDS,4,0.3798,0.0064999999999999,0.0241,0.3935,0.0126999999999999,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,YELLOWCARDS,5,0.3792999999999999,0.0032,0.0123,0.3994499999999999,0.00165,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,YELLOWCARDS,6,0.3773499999999999,0.01235,0.01605,0.3855,0.0257999999999999,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,YELLOWCARDS,7,0.37585,0.0058499999999999,0.01145,0.4101,0.0087,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,YELLOWCARDS,8,0.37535,0.00395,0.02065,0.3726,0.0101999999999999,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,YELLOWCARDS,9,0.374,0.0156999999999999,0.01475,0.3874499999999999,0.00115,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,YELLOWCARDS,10,0.37345,0.0082499999999999,0.01975,0.3895499999999999,0.00025,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,YELLOWCARDS,11,0.36845,0.00035,0.0178,0.36905,0.0141499999999999,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,YELLOWCARDS,12,0.36315,0.00325,0.01665,0.38195,0.0156499999999999,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,YELLOWCARDS,13,0.36275,0.00095,0.0138,0.36555,0.01425,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,YELLOWCARDS,14,0.35995,0.0122499999999999,0.0248,0.3835499999999999,0.00225,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,YELLOWCARDS,15,0.34975,0.00545,0.0162,0.37695,0.00655,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,YELLOWCARDS,16,0.3459,0.0042999999999999,0.01695,0.38205,0.00145,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,YELLOWCARDS,17,0.3435,0.0047,0.01705,0.4005,0.004,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,YELLOWCARDS,18,0.3406,0.0125,0.0213,0.39105,0.0091499999999999,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,YELLOWCARDS,19,0.3378,0.0030999999999999,0.0148499999999999,0.3893999999999999,0.0087,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,YELLOWCARDS,20,0.3273,0.0060999999999999,0.0206,0.3871,0.0100999999999999,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,SHOTS_ON_TARGET,1,0.4837,0.0017999999999999,0.0293,0.4942,0.0028999999999999,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,SHOTS_ON_TARGET,1,0.4837,0.0021,0.01495,0.4676,0.0022999999999999,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,SHOTS_ON_TARGET,3,0.47875,0.0068499999999999,0.0258,0.46355,0.01525,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,SHOTS_ON_TARGET,4,0.4762499999999999,0.0083499999999999,0.02085,0.4885,0.0145,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,SHOTS_ON_TARGET,5,0.47075,0.00285,0.0232,0.47145,0.00865,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,SHOTS_ON_TARGET,6,0.4695,0.0139999999999999,0.0207499999999999,0.44615,0.01435,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,SHOTS_ON_TARGET,7,0.46755,0.0023499999999999,0.0144,0.46795,0.01155,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,SHOTS_ON_TARGET,8,0.4673,0.0016999999999999,0.0219,0.46725,0.0050499999999999,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,SHOTS_ON_TARGET,9,0.4672,0.0020999999999999,0.02805,0.4805,0.006,2
