,cw=none,cw=sqrt
LSTM-MLP,0.42269285714285715,0.43402142857142856
LSTM-MLP-MO,0.4042535714285714,0.421075
MLP,0.4146821428571429,0.4309535714285714
MLP-MO,0.4003285714285714,0.41966785714285715
XGB,0.3949642857142857,0.410425
