model_type,variant,target,n_runs,n_features,n_train,n_val,target_mean,val_rmse,val_rmse_run_std,val_mae,val_mae_run_std,val_rmse_pct,val_mae_pct,cv_rmse,cv_rmse_fold_std,cv_rmse_run_std,cv_mae,cv_mae_fold_std,cv_mae_run_std,cv_rmse_pct,cv_mae_pct,val_round_acc,val_outcome_acc
lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,AWAY_CORNERS,2,135,1444,362,4.145429,2.5068675000000002,0.011041499999999926,1.9904245,0.01027749999999994,60.475,48.015,2.5947,0.057366,3.0999999999892225e-05,2.0104355,0.024644,0.008014500000000035,62.59,48.495,0.1547,0.5304
lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,AWAY_FOULS,2,135,1444,362,11.677271,4.559615,0.003179000000000265,3.6095675,0.01769749999999992,39.045,30.91,4.456729,0.0407775,0.008624000000000187,3.461127,0.07374,0.011306999999999956,38.165000000000006,29.64,0.10495,0.42264999999999997
lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,AWAY_GOALS,2,135,1444,362,1.306094,1.061073,0.001747000000000054,0.8166415,0.004248499999999988,81.24000000000001,62.525000000000006,1.1885865,0.0667435,0.0032734999999999292,0.9261965000000001,0.052777000000000004,0.002320500000000003,91.0,70.91499999999999,0.36739999999999995,0.5718000000000001
lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,AWAY_OFFSIDES,2,135,1444,362,1.741046,1.4762265,0.0105885,1.1231305,0.007625500000000063,84.79,64.50999999999999,1.463499,0.023368,0.0034519999999998996,1.1148925,0.021504000000000002,0.0021444999999999936,84.06,64.035,0.28175,0.4213
lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,AWAY_REDCARDS,2,135,1444,362,0.105956,0.32009750000000003,0.00018749999999997935,0.17858200000000002,0.000895999999999994,302.105,168.545,0.3223505,0.025134999999999998,0.0005064999999999931,0.1888,0.011215,0.0024099999999999955,304.23,178.185,0.9254,0.8591
lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,AWAY_SHOTS_ON_TARGET,2,135,1444,362,3.945291,2.2098925,0.00704450000000012,1.7537664999999998,0.007144499999999998,56.01,44.45,2.3943255,0.12733150000000001,0.0002975000000000616,1.863219,0.08180200000000001,0.0044919999999999405,60.69,47.225,0.17405,0.60775
lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,AWAY_YELLOWCARDS,2,135,1444,362,2.132964,1.5386484999999999,0.006436500000000067,1.2314855,0.008301499999999962,72.13499999999999,57.74,1.434618,0.0459165,0.0024610000000000465,1.1397374999999998,0.031546000000000005,0.005322500000000008,67.255,53.43,0.25,0.3246
lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,HOME_CORNERS,2,135,1444,362,5.304709,3.1339185,0.009625499999999843,2.5043170000000003,0.012218000000000062,59.08,47.209999999999994,2.9716145000000003,0.098083,0.0022094999999999754,2.368754,0.0775125,0.002638999999999836,56.019999999999996,44.650000000000006,0.10775,0.5304
lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,HOME_FOULS,2,135,1444,362,11.648684,3.9062595,0.01968050000000021,3.1610560000000003,0.009350999999999887,33.53,27.14,4.110891499999999,0.1174995,0.011043499999999984,3.206769,0.112666,0.007932999999999968,35.295,27.53,0.09115,0.42264999999999997
lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,HOME_GOALS,2,135,1444,362,1.646814,1.3254234999999999,0.006847500000000006,1.0381015,0.010440500000000075,80.485,63.035,1.295499,0.0538005,0.0006519999999999859,1.011781,0.041239,0.003646000000000038,78.66999999999999,61.44,0.2942,0.5718000000000001
